model_id,model,local,temperature,system,release_date,last_updated_at,download_date,size,number_parameters,model_architecture,ollama_id,updated_at
10,gemma2,true,0.7,All,2024-06-27,2024-08-04,2024-08-25,5.4,9,transformer,ff02c3702f32,2024-09-12 18:35:30.091284
11,gemma2,true,1,All,2024-06-27,2024-08-04,2024-08-25,5.4,9,transformer,ff02c3702f32,
12,gemma2,true,1.3,All,2024-06-27,2024-08-04,2024-08-25,5.4,9,transformer,ff02c3702f32,
13,gemma2,true,0.2,All,2024-06-27,2024-08-04,2024-08-25,5.4,9,transformer,ff02c3702f32,
14,gemma2,true,1.8,All,2024-06-27,2024-08-04,2024-08-25,5.4,9,transformer,ff02c3702f32,
20,gemma2:27b,true,0.7,Linux,2024-06-27,2024-08-04,2024-08-25,15.0,27,transformer,53261bc9c192,2024-09-12 18:35:30.091284
21,gemma2:27b,true,1,Linux,2024-06-27,2024-08-04,2024-08-25,15.0,27,transformer,53261bc9c192,
22,gemma2:27b,true,1.3,Linux,2024-06-27,2024-08-04,2024-08-25,15.0,27,transformer,53261bc9c192,
23,gemma2:27b,true,0.2,Linux,2024-06-27,2024-08-04,2024-08-25,15.0,27,transformer,53261bc9c192,
24,gemma2:27b,true,1.8,Linux,2024-06-27,2024-08-04,2024-08-25,15.0,27,transformer,53261bc9c192,
30,gpt-4o-mini,false,0.7,All,2024-07-18,,,,8,multimodal transformer,,2024-09-12 18:35:30.091284
31,gpt-4o-mini,false,1,All,2024-07-18,,,,8,multimodal transformer,,
32,gpt-4o-mini,false,1.3,All,2024-07-18,,,,8,multimodal transformer,,
33,gpt-4o-mini,false,0.2,All,2024-07-18,,,,8,multimodal transformer,,
34,gpt-4o-mini,false,1.8,All,2024-07-18,,,,8,multimodal transformer,,
40,gpt-4o,false,0.7,All,2024-05-13,,,,200,multimodal transformer,,2024-09-12 18:35:30.091284
41,gpt-4o,false,1,All,2024-05-13,,,,200,multimodal transformer,,
42,gpt-4o,false,1.3,All,2024-05-13,,,,200,multimodal transformer,,
43,gpt-4o,false,0.2,All,2024-05-13,,,,200,multimodal transformer,,
44,gpt-4o,false,1.8,All,2024-05-13,,,,200,multimodal transformer,,
50,llama3.1,true,0.7,All,2024-07-23,2024-08-11,2024-08-25,4.7,8,transformer,91ab477bec9d,2024-09-12 18:35:30.091284
51,llama3.1,true,1,All,2024-07-23,2024-08-11,2024-08-25,4.7,8,transformer,91ab477bec9d,
52,llama3.1,true,1.3,All,2024-07-23,2024-08-11,2024-08-25,4.7,8,transformer,91ab477bec9d,
53,llama3.1,true,0.2,All,2024-07-23,2024-08-11,2024-08-25,4.7,8,transformer,91ab477bec9d,
54,llama3.1,true,1.8,All,2024-07-23,2024-08-11,2024-08-25,4.7,8,transformer,91ab477bec9d,
60,llama3.1:70b,true,0.7,Linux,0024-07-23,2024-08-11,2024-08-25,39.0,70,transformer,f9f6c437c417,2024-09-12 18:35:30.091284
61,llama3.1:70b,true,1,Linux,0024-07-23,2024-08-11,2024-08-25,39.0,70,transformer,f9f6c437c417,
62,llama3.1:70b,true,1.3,Linux,0024-07-23,2024-08-11,2024-08-25,39.0,70,transformer,f9f6c437c417,
63,llama3.1:70b,true,0.2,Linux,0024-07-23,2024-08-11,2024-08-25,39.0,70,transformer,f9f6c437c417,
64,llama3.1:70b,true,1.8,Linux,0024-07-23,2024-08-11,2024-08-25,39.0,70,transformer,f9f6c437c417,
70,phi3.5,true,0.7,All,2024-08-20,2024-08-20,2024-08-25,2.2,4,transformer,3b387c8dd9b7,2024-09-12 18:35:30.091284
71,phi3.5,true,1,All,2024-08-20,2024-08-20,2024-08-25,2.2,4,transformer,3b387c8dd9b7,
72,phi3.5,true,1.3,All,2024-08-20,2024-08-20,2024-08-25,2.2,4,transformer,3b387c8dd9b7,
73,phi3.5,true,0.2,All,2024-08-20,2024-08-20,2024-08-25,2.2,4,transformer,3b387c8dd9b7,
74,phi3.5,true,1.8,All,2024-08-20,2024-08-20,2024-08-25,2.2,4,transformer,3b387c8dd9b7,
80,phi3:medium,true,0.7,All,2024-04-23,2024-08-04,2024-08-25,7.9,24,transformer,cf611a26b048,2024-09-12 18:35:30.091284
81,phi3:medium,true,1,All,2024-04-23,2024-08-04,2024-08-25,7.9,24,transformer,cf611a26b048,
82,phi3:medium,true,1.3,All,2024-04-23,2024-08-04,2024-08-25,7.9,24,transformer,cf611a26b048,
83,phi3:medium,true,0.2,All,2024-04-23,2024-08-04,2024-08-25,7.9,24,transformer,cf611a26b048,
84,phi3:medium,true,1.8,All,2024-04-23,2024-08-04,2024-08-25,7.9,24,transformer,cf611a26b048,
90,claude-3-haiku,False,0.7,All,2024-03-07,2024-03-07,,,20,transformer,,
91,claude-3-haiku,False,1.0,All,2024-03-07,2024-03-07,,,20,transformer,,
92,claude-3-haiku,False,1.3,All,2024-03-07,2024-03-07,,,20,transformer,,
93,claude-3-haiku,False,0.2,All,2024-03-07,2024-03-07,,,20,transformer,,
94,claude-3-haiku,False,1.8,All,2024-03-07,2024-03-07,,,20,transformer,,
100,claude-3.5-sonnet,False,0.7,All,2024-06-20,2024-06-20,,,70,transformer,,
101,claude-3.5-sonnet,False,1.0,All,2024-06-20,2024-06-20,,,70,transformer,,
102,claude-3.5-sonnet,False,1.3,All,2024-06-20,2024-06-20,,,70,transformer,,
103,claude-3.5-sonnet,False,0.2,All,2024-06-20,2024-06-20,,,70,transformer,,
104,claude-3.5-sonnet,False,1.8,All,2024-06-20,2024-06-20,,,70,transformer,,
